iter	RMSE
0	2.750433103
1	2.69288209
2	2.633687126
3	2.581658679
4	2.531142279
5	2.477805254
6	2.429430258
7	2.378801892
8	2.329936658
9	2.281834523
10	2.234444451
11	2.190952503
12	2.149770878
13	2.11056679
14	2.068711724
15	2.028682057
16	1.990852795
17	1.956710984
18	1.923568272
19	1.890542338
20	1.858387055
21	1.825061727
22	1.795674574
23	1.764637111
24	1.736311119
25	1.70808993
26	1.682421852
27	1.654866566
28	1.630219763
29	1.606674737
30	1.580601092
31	1.558534808
32	1.535914771
33	1.515132068
34	1.493822696
35	1.473245268
36	1.453757389
37	1.436060687
38	1.416759813
39	1.398148618
40	1.382413347
41	1.36985598
42	1.353293793
43	1.340084564
44	1.326673512
45	1.312832372
46	1.299901171
47	1.286562923
48	1.274968824
49	1.263133489
50	1.251919265
51	1.239982908
52	1.229018228
53	1.21878264
54	1.209135331
55	1.198903771
56	1.188026376
57	1.179499488
58	1.170722622
59	1.16085157
60	1.151043997
61	1.143962386
62	1.13876922
63	1.129156091
64	1.12098843
65	1.112576094
66	1.10689569
67	1.099471226
68	1.09195624
69	1.08666523
70	1.079819808
71	1.073701748
72	1.067541762
73	1.060270275
74	1.055300729
75	1.047905648
76	1.042686404
77	1.037895872
78	1.032663596
79	1.026158801
80	1.021002732
81	1.016193708
82	1.010994779
83	1.006168655
84	1.000190425
85	0.9966862199
86	0.9917140056
87	0.9879063335
88	0.9820261617
89	0.9777550104
90	0.9741875036
91	0.9703595051
92	0.9647741203
93	0.959023263
94	0.954457845
95	0.9493031524
96	0.9461827929
97	0.9414831144
98	0.9368926103
99	0.9345097929
100	0.9312940848
101	0.9269214141
102	0.9231935355
103	0.9198872766
104	0.9174390436
105	0.9142561338
106	0.911003515
107	0.9089545324
108	0.9071076384
109	0.9042523705
110	0.9000612067
111	0.8965892114
112	0.8933450984
113	0.8912434464
114	0.8879411624
115	0.8862092907
116	0.883112698
117	0.8796564667
118	0.8776281622
119	0.8745513246
120	0.8724194519
121	0.870041959
122	0.8675005821
123	0.8639142684
124	0.8628011848
125	0.860359965
126	0.8573819741
127	0.8550726761
128	0.8513258952
129	0.8491927218
130	0.8468865866
131	0.8451829772
132	0.8429591704
133	0.840689392
134	0.8384482432
135	0.8373463798
136	0.8350668613
137	0.8333560474
138	0.8311911873
139	0.8286893795
140	0.825609277
141	0.8231297002
142	0.8211149756
143	0.8188518033
144	0.816104622
145	0.813831626
146	0.8122253386
147	0.8095123444
148	0.8073660661
149	0.805330433
150	0.8023780882
151	0.8004130332
152	0.7976260951
153	0.7954015248
154	0.7928478579
155	0.7917661954
156	0.7892000957
157	0.7862788237
158	0.7853365625
159	0.7830458733
160	0.781834826
161	0.7805439857
162	0.7793722382
163	0.7761538261
164	0.7745075592
165	0.7726675362
166	0.7704199468
167	0.7677806472
168	0.7668400238
169	0.7651933225
170	0.7631585379
171	0.7616645055
172	0.7597210591
173	0.7589742877
174	0.7577488471
175	0.7558957263
176	0.7531209198
177	0.7520385587
178	0.7496045947
179	0.7482564715
180	0.745976531
181	0.7445186059
182	0.7430013471
183	0.7418093455
184	0.7401225215
185	0.738368817
186	0.7367294846
187	0.7359763985
188	0.7348310893
189	0.733588149
190	0.7315084761
191	0.7288319324
192	0.7272233984
193	0.7255860367
194	0.7244368583
195	0.7225280881
196	0.7213295515
197	0.7190361783
198	0.7169587827
199	0.7143550088
200	0.713353854
201	0.7115878661
202	0.7099843065
203	0.7071856301
204	0.7057569665
205	0.7043636496
206	0.7029113085
207	0.70108324
208	0.700422304
209	0.6991443208
210	0.6970197782
211	0.6953215163
212	0.694278391
213	0.6920797067
214	0.6897720645
215	0.6875948303
216	0.6859590262
217	0.6848145393
218	0.6825744613
219	0.6803496044
220	0.678183885
221	0.6757526285
222	0.6746508012
223	0.6729182797
224	0.6718533076
225	0.6696802514
226	0.6679822772
227	0.6661749987
228	0.6651961619
229	0.6641811887
230	0.6622199773
231	0.6609480257
232	0.6594241989
233	0.658665761
234	0.6572421965
235	0.6557421344
236	0.6549421164
237	0.6532342362
238	0.6512769234
239	0.6496212961
240	0.6481602577
241	0.6467456433
242	0.6451349976
243	0.6426036069
244	0.6411403253
245	0.6396109655
246	0.6384455107
247	0.6374342973
248	0.6362724472
249	0.634843456
250	0.6327480727
251	0.6318334089
252	0.6296303926
253	0.6290760459
254	0.6279035543
255	0.6271843315
256	0.6266198908
257	0.6255862352
258	0.6235607072
259	0.6224704281
260	0.6215903707
261	0.6200963729
262	0.6196392145
263	0.6178329645
264	0.6160030179
265	0.6141760601
266	0.6134048411
267	0.6110017966
268	0.609016153
269	0.6064806526
270	0.6051512606
271	0.6037657175
272	0.6018514661
273	0.600519434
274	0.5993857986
275	0.5978407416
276	0.595901003
277	0.5946045537
278	0.5933574543
279	0.5917447971
280	0.5899872319
281	0.5886889346
282	0.5880196251
283	0.5872949316
284	0.5862868808
285	0.5846513266
286	0.5834629942
287	0.5819113566
288	0.5806527991
289	0.5793786832
290	0.5784414185
291	0.5775483164
292	0.5766527606
293	0.5755921229
294	0.5745960118
295	0.5728248079
296	0.5716103522
297	0.5702751775
298	0.5693224554
299	0.5677317554
300	0.5658560369
301	0.5649753122
302	0.5636727384
303	0.5629265613
304	0.5619149103
305	0.5605841215
306	0.5591555446
307	0.5582206941
308	0.5570803536
309	0.555318599
310	0.5537723943
311	0.5528550817
312	0.5519136302
313	0.5506823359
314	0.5486252214
315	0.5470357616
316	0.54631527
317	0.5450926414
318	0.5434676099
319	0.5426572797
320	0.5418536962
321	0.5408816879
322	0.540058106
323	0.5384831556
324	0.5369912519
325	0.5357903743
326	0.5350764022
327	0.5336110918
328	0.5314483436
329	0.529880722
330	0.5291730578
331	0.5282299766
332	0.5276501958
333	0.5267392237
334	0.5258078545
335	0.5239245226
336	0.5224857094
337	0.521449792
338	0.5200694513
339	0.5182860558
340	0.5167030975
341	0.5157238441
342	0.5143811678
343	0.5130306119
344	0.5112515504
345	0.5100763348
346	0.5093336526
347	0.5085233626
348	0.5076075902
349	0.5068357213
350	0.505237879
351	0.5041158961
352	0.5025674201
353	0.5015509748
354	0.5002230609
355	0.4995636196
356	0.4983958089
357	0.4972720723
358	0.4957259282
359	0.494811166
360	0.493866845
361	0.492384608
362	0.4914603153
363	0.4901448565
364	0.4894160187
365	0.4881956239
366	0.4873061244
367	0.4863249719
368	0.4849190712
369	0.4842193045
370	0.4835004179
371	0.4821049074
372	0.4816864864
373	0.4804446705
374	0.4786171005
375	0.4776138205
376	0.4769589224
377	0.4756906632
378	0.4743979302
379	0.4733190873
380	0.4726692431
381	0.4717780322
382	0.4703600746
383	0.469139618
384	0.4677037692
385	0.4661086472
386	0.4650683779
387	0.4643941211
388	0.4635524003
389	0.4630604078
390	0.4619417981
391	0.4611538133
392	0.4596967972
393	0.4589528688
394	0.4575861699
395	0.4566530547
396	0.4558824254
397	0.4552285977
398	0.4545082214
399	0.4535510234
400	0.4527654195
401	0.4517497744
402	0.4510260273
403	0.4498792169
404	0.4487236386
405	0.4479296701
406	0.4474572785
407	0.4467105588
408	0.4456025671
409	0.4443317999
410	0.4430775553
411	0.4417321268
412	0.4406340743
413	0.43988515
414	0.4389641916
415	0.4380272287
416	0.4375211535
417	0.436693712
418	0.4357625781
419	0.4351775279
420	0.4343582942
421	0.4336463127
422	0.4330174931
423	0.4323656684
424	0.4315970843
425	0.4308018268
426	0.4296157962
427	0.4281989051
428	0.4271109598
429	0.4261417279
430	0.4248672687
431	0.42409259
432	0.4235828758
433	0.4232478529
434	0.4229288538
435	0.4222870548
436	0.4212785605
437	0.4204660942
438	0.4198227019
439	0.419509968
440	0.4190258683
441	0.4184976474
442	0.4175211357
443	0.4167778356
444	0.4162086014
445	0.4153613347
446	0.4141696157
447	0.4140172325
448	0.4130343464
449	0.4122041648
450	0.4111842702
451	0.4104837709
452	0.4093483676
453	0.4084839187
454	0.408061565
455	0.406749287
456	0.4058777098
457	0.4050744915
458	0.4040933283
459	0.4033551577
460	0.4024591327
461	0.4015646961
462	0.4009445907
463	0.3998696431
464	0.399319931
465	0.3986890328
466	0.3981586885
467	0.3977338912
468	0.3967187533
469	0.3960842342
470	0.3955532378
471	0.3947327442
472	0.3937634021
473	0.3933965368
474	0.3923531335
475	0.3919947137
476	0.3912537118
477	0.3905065363
478	0.3896653585
479	0.3887358047
480	0.3876581443
481	0.3866988866
482	0.3860322759
483	0.3853385625
484	0.3843884932
485	0.3834307105
486	0.38267426
487	0.3818971254
488	0.3810559061
489	0.3803246767
490	0.3792530933
491	0.3786608365
492	0.3776570076
493	0.3768901054
494	0.376173941
495	0.375476819
496	0.3749938544
497	0.3739243562
498	0.3730833434
499	0.372295956
500	0.3714497532
501	0.3707456641
502	0.3702806554
503	0.3699612538
504	0.3689255805
505	0.3682481039
506	0.3676000335
507	0.3667396431
508	0.365981927
509	0.3652188452
510	0.3642895107
511	0.3637937586
512	0.3628824338
513	0.3624915817
514	0.3618425926
515	0.3615105874
516	0.3608366905
517	0.3603214441
518	0.3595161997
519	0.3587171379
520	0.3578097525
521	0.3572215973
522	0.3566706657
523	0.3561223444
524	0.3550519976
525	0.3537921782
526	0.3534634428
527	0.352702514
528	0.3520129472
529	0.3514939958
530	0.3511059106
531	0.3503600196
532	0.3494391987
533	0.3492082509
534	0.3487302087
535	0.3479449882
536	0.3471699722
537	0.3464993512
538	0.3459898608
539	0.345551208
540	0.3449563042
541	0.3440906226
542	0.3433213188
543	0.3425940517
544	0.3424269884
545	0.3419822562
546	0.3412022419
547	0.3406379271
548	0.3403317346
549	0.3395891391
550	0.339069976
551	0.3380940952
552	0.3372558483
553	0.3366801038
554	0.3362668122
555	0.3354218272
556	0.3346237263
557	0.3340014404
558	0.3332557935
559	0.3326057464
560	0.3320884511
561	0.3313586552
562	0.3305442954
563	0.3301364475
564	0.3294116611
565	0.3285838595
566	0.3278640307
567	0.3272718942
568	0.326587744
569	0.3260310363
570	0.3252491164
571	0.3244773236
572	0.3236348115
573	0.3231745396
574	0.3223413062
575	0.3217722194
576	0.3212589165
577	0.3208246562
578	0.3202939155
579	0.3195721395
580	0.3190440641
581	0.3184744931
582	0.3179359915
583	0.3173643931
584	0.316697393
585	0.3160633546
586	0.3153418634
587	0.3149383562
588	0.3142648623
589	0.313741917
590	0.3132977561
591	0.3130422838
592	0.3125912061
593	0.3121062075
594	0.3113580101
595	0.3105766421
596	0.3101433372
597	0.309447888
598	0.3087018926
599	0.30795539
600	0.3073597981
601	0.3068708505
602	0.3064348777
603	0.3057444386
604	0.3053532768
605	0.3049315706
606	0.3044078009
607	0.3042873719
608	0.3038231757
609	0.3032914513
610	0.3030872847
611	0.3024922917
612	0.3022585219
613	0.3020816865
614	0.3016226907
615	0.3008532317
616	0.3002176653
617	0.2995673992
618	0.2991383737
619	0.2986314229
620	0.2981762006
621	0.2975809912
622	0.2970379357
623	0.2967345297
624	0.2961129711
625	0.2958897146
626	0.2952282729
627	0.2946815921
628	0.2943887137
629	0.2938733459
630	0.2932816688
631	0.2929045869
632	0.2925112069
633	0.2920764184
634	0.2917489497
635	0.291349971
636	0.2905948338
637	0.2901551908
638	0.2898269714
639	0.289226627
640	0.2888083308
