iter	Passed	Remaining
0	1	17063
1	3	17481
2	5	17539
3	6	17186
4	8	17943
5	10	17425
6	12	17289
7	13	17184
8	15	16941
9	16	16735
10	18	16925
11	23	19266
12	25	19457
13	27	19504
14	28	19214
15	30	19008
16	34	20060
17	36	20131
18	38	20123
19	40	20060
20	42	20217
21	45	20681
22	48	20957
23	50	20929
24	52	20759
25	53	20525
26	55	20377
27	57	20414
28	59	20322
29	60	20178
30	62	20015
31	63	19880
32	65	19753
33	66	19615
34	70	20040
35	72	19929
36	73	19802
37	75	19671
38	76	19558
39	78	19492
40	80	19442
41	82	19471
42	83	19393
43	85	19419
44	87	19430
45	89	19404
46	91	19365
47	93	19333
48	96	19503
49	97	19451
50	99	19423
51	101	19355
52	102	19270
53	104	19182
54	106	19295
55	108	19263
56	109	19179
57	111	19108
58	112	19033
59	114	18983
60	116	18990
61	118	18951
62	123	19410
63	125	19413
64	126	19366
65	128	19291
66	129	19221
67	132	19360
68	134	19356
69	136	19317
70	137	19252
71	139	19197
72	140	19142
73	142	19090
74	144	19177
75	146	19130
76	148	19107
77	149	19063
78	151	19005
79	153	18999
80	154	18962
81	157	19029
82	158	18990
83	160	18938
84	162	18949
85	164	18936
86	165	18891
87	167	18843
88	169	18875
89	171	18887
90	173	18882
91	175	18860
92	176	18842
93	179	18885
94	182	19072
95	184	19058
96	186	19015
97	188	19010
98	190	19015
99	192	19063
100	195	19178
101	197	19159
102	198	19116
103	200	19069
104	201	19024
105	203	19000
106	205	18997
107	208	19102
108	210	19073
109	211	19041
110	218	19421
111	222	19621
112	225	19739
113	227	19747
114	230	19796
115	231	19766
116	235	19899
117	237	19895
118	239	19869
119	241	19867
120	242	19836
121	245	19902
122	247	19860
123	248	19818
124	250	19782
125	251	19741
126	254	19794
127	256	19774
128	258	19769
129	259	19733
130	261	19695
131	263	19682
132	265	19692
133	267	19712
134	270	19733
135	271	19715
136	273	19718
137	275	19704
138	277	19683
139	280	19779
140	284	19859
141	286	19903
142	288	19890
143	290	19880
144	297	20222
145	299	20194
146	301	20175
147	303	20171
148	305	20183
149	306	20155
150	309	20167
151	311	20158
152	312	20130
153	314	20094
154	315	20055
155	318	20085
156	320	20113
157	322	20084
158	325	20135
159	326	20109
160	329	20148
161	331	20123
162	333	20110
163	334	20076
164	336	20047
165	338	20024
166	339	19988
167	341	19984
168	343	19964
169	345	19952
170	346	19941
171	348	19915
172	350	19883
173	351	19857
174	353	19858
175	356	19879
176	358	19874
177	359	19842
178	361	19813
179	362	19793
180	364	19791
181	367	19820
182	370	19884
183	372	19887
184	375	19916
185	376	19885
186	379	19892
187	381	19889
188	384	19970
189	386	19945
190	387	19924
191	389	19909
192	392	19935
193	396	20065
194	399	20070
195	403	20195
196	407	20290
197	410	20331
198	412	20315
199	414	20314
200	416	20297
201	418	20275
202	419	20269
203	421	20262
204	423	20246
205	425	20222
206	427	20234
207	430	20258
208	432	20250
209	433	20223
210	435	20203
211	437	20180
212	439	20185
213	441	20189
214	443	20192
215	445	20166
216	446	20143
217	448	20124
218	449	20096
219	452	20095
220	453	20075
221	455	20079
222	457	20061
223	459	20034
224	460	20009
225	462	19984
226	464	19994
227	467	20023
228	469	20019
229	470	19998
230	472	19977
231	473	19952
232	476	19959
233	478	19950
234	480	19945
235	481	19923
236	483	19907
237	485	19894
238	486	19880
239	488	19880
240	490	19860
241	492	19849
242	494	19837
243	495	19814
244	497	19807
245	499	19799
246	502	19828
247	504	19842
248	506	19831
249	507	19806
250	509	19784
251	510	19766
252	513	19795
253	515	19785
254	517	19775
255	519	19770
256	521	19761
257	522	19748
258	524	19732
259	526	19727
260	529	19744
261	531	19736
262	532	19714
263	534	19694
264	535	19671
265	537	19656
266	539	19668
267	542	19707
268	544	19686
269	545	19668
270	547	19654
271	549	19638
272	551	19645
273	552	19623
274	554	19621
275	556	19614
276	558	19605
277	560	19597
278	562	19591
279	564	19581
280	566	19578
281	568	19581
282	569	19564
283	571	19553
284	573	19552
285	575	19544
286	578	19580
287	580	19567
288	581	19549
289	583	19530
290	585	19523
291	589	19587
292	593	19655
293	595	19644
294	596	19633
295	598	19621
296	600	19623
297	602	19619
298	604	19611
